urun_ismi,img_url,ilac_sirketi,barkod,recete_tipi,etken_madde,dsf,kamu_odenen,fiyat_farki,psf
Anesed-R İV Enjeksiyon İçin Çözelti İçeren 0.5 mg/5 ml 5x5 ml Ampul,https://cdn.farmazonrx.com.tr/Products/Images/b5ac9208-03b1-4d4a-a43a-1dbc3e0cb0b0.jpg,Polifarma,8699606756842,Beyaz Reçete,"Flumazenil - 0,5 mg/5 ml","429,32 TL","523,17 TL",-,"1067,69 TL"
Anesed-R İV Enjeksiyon İçin Çözelti İçeren 1 mg/10 ml 5x10 ml Ampul,https://cdn.farmazonrx.com.tr/Products/Images/e78a299d-7549-4475-80c2-0ea7d9905674.jpg,Polifarma,8699606756859,Beyaz Reçete,Flumazenil - 1 mg/10 ml,"1019,35 TL","1189,90 TL",-,"2428,37 TL"
Lauzenil İV Enjeksiyon İçin Çözelti İçeren Ampul 1 mg/10 ml 5x10 ml Ampul,https://cdn.farmazonrx.com.tr/Products/Images/e78a299d-7549-4475-80c2-0ea7d9905674.jpg,Haver Trakya,8680222750277,Beyaz Reçete,Flumazenil - 1 mg/10 ml,"1281,62 TL","1291,15 TL","210,64 TL","2176,51 TL"
Desferal İM/İV/SC Enjeksiyon İçin Liyofilize Toz İçeren Flakon 500 mg 10 Flakon,,Novartis,8699504790108,Beyaz Reçete,Deferoksamin - 500 mg,"436,66 TL","546,24 TL",-,"687,10 TL"
Lauzenil IV Enjeksiyon İçin Çözelti İçeren Ampul 0.5 mg/5 ml 5x5 ml Ampul,https://cdn.farmazonrx.com.tr/Products/Images/b5ac9208-03b1-4d4a-a43a-1dbc3e0cb0b0.jpg,Haver Trakya,8680222750260,Beyaz Reçete,"Flumazenil - 0,5 mg/5 ml","548,46 TL","575,49 TL","97,83 TL","975,83 TL"
Sugaver 200 mg/2 ml IV Enjeksiyonluk Çözelti 10 Ampul,https://cdn.farmazonrx.com.tr/Products/Images/af3e91b1-f9d3-41ff-95d2-954b3cc7e800.jpg,Haver,8680400771414,Beyaz Reçete,Sugammadeks - 200 mg/2 ml,"9581,86 TL","9039,44 TL","542,41 TL","0,00 TL"
Butorast 15 mmol/15 ml Enjeksiyonluk Çözelti,https://cdn.farmazonrx.com.tr/Products/Images/f6189b4a-ead6-40f8-af7c-489aa85706af.jpg,Vem,8699844773090,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","1411,18 TL","1650,52 TL",-,"2292,39 TL"
"Butorast 7,5 mmol/7,5 ml Enjeksiyonluk Çözelti",https://cdn.farmazonrx.com.tr/Products/Images/2579aa62-b85b-48bd-ab41-b15c1a766287.jpg,Vem,8699844773083,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","603,13 TL","737,43 TL",-,"1024,21 TL"
Nutrivigor RTH Vanilya Aromalı 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/75957f92-4dc4-4d7c-9c39-2ddaf0df3ff9.jpg,Abbott,8699548995071,Beyaz Reçete,Vitamin C - 16 mg/100 ml,"183,71 TL","235,16 TL",-,"398,57 TL"
Brimadeks 200 mg/2 ml IV Enjeksiyonluk Çözelti 2 ml 10 Ampul,https://cdn.farmazonrx.com.tr/Products/Images/abb00226-5116-4ee6-859a-83793d0e948e.jpg,Polifarma,8699606776192,Beyaz Reçete,Sugammadeks - 200 mg/2 ml,"10086,39 TL","9039,44 TL","1046,95 TL","0,00 TL"
Defejact 500 mg 28 Dağılabilir Tablet,https://cdn.farmazonrx.com.tr/Products/Images/9e46b3d0-e031-4803-9afd-337bbaa58f5a.jpg,World Medicine,8680199078824,,Deferasiroks - 500 mg,"5395,39 TL","6152,68 TL",-,"8545,39 TL"
Omnipol 350 mgi/ml IV/IA Enjeksiyon İçin Çözelti İçeren Flakon 50 ml 1 Adet,,Polifarma,8699606775577,Beyaz Reçete,İyoheksol - 350 mgI/ml,"481,39 TL","596,09 TL",-,"827,90 TL"
Kimler alım yapabilir?,,,,,,,,,
Kimler alım yapabilir?,,,,,,,,,
Omnipol 300 mgi/ml IV/IA Enjeksiyon İçin Çözelti İçeren Flakon 100 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/cc7d295e-004e-470d-87e6-1c2e4e769b5c.jpg,Polifarma,8699606775560,Beyaz Reçete,İyoheksol - 300 mgI/ml,"776,08 TL","864,57 TL","68,30 TL","1295,65 TL"
Pamintu 10 mg/ml Enjeksiyonluk Çözelti İçeren Flakon 5 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f58a9701-b1c9-4741-9ef8-31b3608987e4.jpg,Koçsel,8699715771859,Beyaz Reçete,Protamin - 5000 IU/5 ml,"88,76 TL","113,62 TL",-,"113,62 TL"
Biemexol 350 mgi/ml IV/IA/IT Enjeksiyon İçin Çözelti İçeren Flakon 100 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/24e7159f-0fe7-4e21-8485-38f579f7493f.jpg,Biem,8699702774047,Beyaz Reçete,İyoheksol - 350 mgI/ml,"872,66 TL","994,09 TL","47,91 TL","1447,22 TL"
Biemexol 300 mgi/ml IV/IA/IT Enjeksiyon İçin Çözelti İçeren Flakon 50 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/37820bc2-d343-4d49-b872-0e82c30abdaf.jpg,Biem,8699702774016,Beyaz Reçete,İyoheksol - 300 mgI/ml,"419,64 TL","523,23 TL",-,"726,71 TL"
Promin 5.000 IU/5 ml IV Enjeksiyonluk Çözelti İçeren Ampul 5 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f58a9701-b1c9-4741-9ef8-31b3608987e4.jpg,Vem,8699844750961,Beyaz Reçete,Protamin - 5000 IU/5 ml,"88,76 TL","113,62 TL",-,"113,62 TL"
Mazenil 1 mg/10 ml IV Enjeksiyon İçin Çözelti İçeren Ampul 10 ml 5 Adet,https://cdn.farmazonrx.com.tr/Products/Images/e78a299d-7549-4475-80c2-0ea7d9905674.jpg,Vem,8699844750565,Beyaz Reçete,Flumazenil - 1 mg/10 ml,"1910,30 TL","1291,15 TL","923,38 TL","3075,74 TL"
"Mazenil 0,5 mg/5 ml IV Enjeksiyon İçin Çözelti İçeren Ampul 5 ml 5 Adet",https://cdn.farmazonrx.com.tr/Products/Images/bb910cb6-a3ba-4aa5-ae45-8cae370b5d25.jpg,Vem,8699844750558,Beyaz Reçete,"Flumazenil - 0,5 mg/5 ml","801,25 TL","575,49 TL","385,82 TL","1335,15 TL"
Kopaq 300 mgI/ml Enjeksiyonluk Çözelti İçeren Flakon 100 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/b47af8eb-d232-44a4-b316-49f3974516ff.jpg,Koçsel,8699715771835,Beyaz Reçete,İyoheksol - 300 mgI/ml,"776,08 TL","864,57 TL","68,30 TL","1295,65 TL"
Urografin %76 Enjeksiyon ve İnfüzyon İçin Çözelti 100 ml 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/c3d7b43c-3b5b-41c3-83ec-418eff003e60.jpg,Bayer,8699546778706,Beyaz Reçete,"Diatrizoik asit - 100 mg/ml
Meglumin diatrizoat - 660 mg/ml","456,18 TL","566,34 TL",-,"786,59 TL"
Gadovist 1 mmol/ml Enjeksiyonluk Çözelti İçeren Flakon 15 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/3535260f-96d0-4198-afcb-2f0c74e0f551.jpg,Bayer,8699546778638,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","1350,80 TL","1572,20 TL",-,"2664,75 TL"
"Gadovist 1 mmol/ml Enjeksiyonluk Çözelti İçeren Flakon 7,5 ml 1 Adet",https://cdn.farmazonrx.com.tr/Products/Images/2579aa62-b85b-48bd-ab41-b15c1a766287.jpg,Bayer,8699546773428,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","603,13 TL","737,43 TL",-,"1024,21 TL"
Butorast 30 mmol/30 ml Enjeksiyonluk Çözelti,https://cdn.farmazonrx.com.tr/Products/Images/14b18b9c-bee6-43f0-8e8a-f089b82efd7d.jpg,Vem,8699844773106,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","2862,22 TL","3290,21 TL",-,"4569,73 TL"
R-X 1 g/ml Süspansiyon 240 ml,https://cdn.farmazonrx.com.tr/Products/Images/5cbce17e-e37a-45d3-afc5-b2544f007410.jpg,Avixa,8681801700843,Beyaz Reçete,Baryum - 240 g/240 ml,"241,63 TL","222,68 TL",-,"309,28 TL"
Glucerna SR Vanilya Aromalı 220 ml,,Abbott,8699548994302,Beyaz Reçete,Vitamin C - 9 mg/100 ml,"75,55 TL","96,71 TL",-,"108,66 TL"
Glucerna SR Çikolata Aromalı 220 ml,,Abbott,8699548994326,Beyaz Reçete,Vitamin C - 9 mg/100 ml,"75,55 TL","96,71 TL",-,"108,66 TL"
Glucerna SR Çilek Aromalı 220 ml,,Abbott,8699548994319,Beyaz Reçete,Vitamin C - 9 mg/100 ml,"75,55 TL","96,71 TL",-,"108,66 TL"
Ensure Plus Fiber Tıbbi Amaçlı Beslenme Ürünü Kakao Aromalı 200 ml Şişe,https://cdn.farmazonrx.com.tr/Products/Images/532b3f5c-639f-426f-bd93-b627fa3005bb.jpg,Abbott,8699548994524,Beyaz Reçete,Vitamin C - 12 mg/100 ml,"63,66 TL","81,50 TL",-,"91,57 TL"
Renastep Özel Tıbbi Amaçlı Diyet Gıda 24x125 ml Şişe,,Nestle,8690632710372,Beyaz Reçete,,"4149,13 TL",Ödenmez,-,"4766,16 TL"
Fortimel Advanced Özel Tıbbi Amaçlı Diyet Gıda Vanilya Aromalı 200 ml Şişe,,Numil,8699745021474,Beyaz Reçete,,"79,50 TL",Ödenmez,-,"101,76 TL"
Bebelac Gold AR Özel Tıbbi Amaçlı Diyet Gıda 400 gr Kutu,https://cdn.farmazonrx.com.tr/Products/Images/63b5b061-6305-4913-a564-ab28d8840e7f.jpg,Numil,8699745022143,Reçetesiz,"Vitamin C - 8,3 mg/100 ml","751,63 TL",Ödenmez,-,"925,89 TL"
Kalsifosin İM/İV Enjeksiyonluk Çözelti 100 mg/10 ml 1x10 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/e2147cd9-2523-4f58-a3e2-af8c22896cec.jpg,Vem,8699844772413,Beyaz Reçete,Kalsiyum folinat - 100 mg/10 ml,"117,91 TL","150,93 TL",-,"209,62 TL"
Kalsifosin İM/İV Enjeksiyonluk Çözelti 200 mg/20 ml 1x20 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/b623ff31-af0f-4543-8b50-321c07c2411a.jpg,Vem,8699844772420,Beyaz Reçete,Kalsiyum folinat - 200 mg/20 ml,"288,01 TL","367,91 TL",-,"510,98 TL"
Similac Elecare Tıbbi Amaçlı Beslenme Ürünü 400 gr Kutu - 519 kcal/100 gr,https://cdn.farmazonrx.com.tr/Products/Images/04603e1a-f4c1-4b80-90f2-b2ed5459f319.jpg,Abbott,8699548995217,Beyaz Reçete,,"617,99 TL",Ödenmez,-,"767,27 TL"
Kalsifosin İM/İV Enjeksiyonluk Çözelti 50 mg/5 ml 1x5 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/37a48f5f-6745-4baf-a104-26a5c98b205c.jpg,Vem,8699844772406,Beyaz Reçete,Kalsiyum folinat - 50 mg/5 ml,"88,76 TL","80,74 TL","32,88 TL","113,62 TL"
Pot-Out Granül 880 mg/1 gr 60x15 gr Poşet,https://cdn.farmazonrx.com.tr/Products/Images/fed03cd1-870e-48ab-84ce-49d56730d38f.jpg,Vem,8699844242169,Beyaz Reçete,Polistiren sülfonat - 880 mg/g,"2031,63 TL",Ödenmez,-,"2370,66 TL"
Bebelac Gold Nenatal Özel Tıbbi Amaçlı Diyet Gıda 400 gr Kutu - 80 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/b5d14e4d-1743-4ae5-b978-1c3e398e2403.jpg,Numil,8712400763226,Beyaz Reçete,Vitamin C - 17 mg/100 ml,"534,79 TL",Ödenmez,-,"670,02 TL"
Supportan Drink Özel Tıbbi Amaçlı Diyet Gıda Cappuccino Aromalı 200 ml Şişe - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/5ba941b2-0e9f-49ad-83d4-4fda1d4e7c9f.jpg,Fresenius Kabi,8699630998812,Beyaz Reçete,"Vitamin C - 18,8 mg/100 ml
Kafein - 0,34 mg/100 ml","55,97 TL",Ödenmez,-,"71,64 TL"
Pku Gel Özel Tıbbi Amaçlı Diyet Gıda Portakal Aromalı 30x24 gr Saşe - 76 kcal/1 Saşe,,Nestle,8690632760711,Beyaz Reçete,,"2858,78 TL",Ödenmez,-,"3306,12 TL"
Fresubin Hepa Drink Özel Tıbbi Amaçlı Diyet Gıda Cappuccino Aromalı 200 ml Şişe - 130 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/71864fb2-492b-44bb-ba31-78b7d38f7933.jpg,Fresenius Kabi,8699630998775,Beyaz Reçete,"Vitamin C - 6,67 mg/100 ml
Kafein - 4 mg/100 ml","71,89 TL",Ödenmez,-,"92,01 TL"
Fresubin 2 KCAL Fibre Drink Özel Tıbbi Amaçlı Diyet Gıda Çikolata Aromalı 200 ml Şişe - 200 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/f316fe8c-0f0c-451d-8c5d-ba7b47c0d6f5.jpg,Fresenius Kabi,8699630998706,Beyaz Reçete,"Vitamin C - 18,8 mg/100 ml","34,90 TL",Ödenmez,-,"44,68 TL"
Fresubin 2 KCAL Fibre Drink Özel Tıbbi Amaçlı Diyet Gıda Vanilya Aromalı 200 ml Şişe - 200 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/87f378f2-ebfb-498b-8507-ac9da2132ab4.jpg,Fresenius Kabi,8699630998713,Beyaz Reçete,"Vitamin C - 18,8 mg/100 ml","34,90 TL",Ödenmez,-,"44,68 TL"
Comidagen Özel Tıbbi Amaçlı Gıda 400 gr Kutu - 64 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/bc791829-8d57-4c66-982c-c2700a16f65d.jpg,Mamma,8697869420890,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"781,32 TL",Ödenmez,-,"960,52 TL"
Glucerna 1.5 KCAL Tıbbi Amaçlı Beslenme Ürünü Çilek Aromalı 220 ml Şişe - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/1c935a30-b9e0-4d71-bb2d-c00b60d54172.jpg,Abbott,8699548995064,Beyaz Reçete,Vitamin C - 13 mg/100 ml,"42,98 TL",Ödenmez,-,"55,01 TL"
Pku Gel Özel Tıbbi Amaçlı Diyet Gıda 30x24 gr Saşe - 81 kcal/1 Saşe,https://cdn.farmazonrx.com.tr/Products/Images/f4c73faf-5425-4820-8af5-05d1bc666ac8.jpg,Nestle,8690632760759,Beyaz Reçete,,"3538,55 TL","4067,65 TL",-,"4570,39 TL"
Oniyonix İV/İA/İT Enjeksiyon İçin Çözelti İçeren Flakon 350 mgI/ml 1x100 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/ffbf66f7-64d6-4dc4-92e6-dfe6dba44684.jpg,Monemfarma,8681793774044,Beyaz Reçete,İyoheksol - 350 mgI/ml,"872,66 TL","994,09 TL","47,91 TL","1447,22 TL"
Defroni Suda Dağılabilen Tablet 500 mg 30 Tablet,https://cdn.farmazonrx.com.tr/Products/Images/9e46b3d0-e031-4803-9afd-337bbaa58f5a.jpg,Teva,8699638075300,,Deferasiroks - 500 mg,"8054,24 TL",Ödenmez,-,"9178,93 TL"
Diben Drink Özel Tıbbi Amaçlı Diyet Gıda Vanilya Aromalı 200 ml Şişe - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/073c1da4-35a4-4b4a-84c3-6e33609e2635.jpg,Fresenius Kabi,8699630998621,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"34,90 TL",Ödenmez,-,"44,68 TL"
Diben Drink Özel Tıbbi Amaçlı Diyet Gıda Orman Meyveleri Aromalı 200 ml Şişe - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/b07ed311-3562-4bad-95db-4535955b7902.jpg,Fresenius Kabi,8699630998614,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"34,90 TL",Ödenmez,-,"44,68 TL"
Diben HP 1.5 KCAL Özel Tıbbi Amaçlı Diyet Gıda 500 ml Torba - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/41b12024-3d2f-433e-9a5f-0439e06f1c9e.jpg,Fresenius Kabi,8699630998461,Beyaz Reçete,Vitamin C - 12 mg/100 ml,"75,15 TL",Ödenmez,-,"96,19 TL"
Diben Drink Özel Tıbbi Amaçlı Diyet Gıda Cappuccino Aromalı 200 ml Şişe - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/a0fc1aa2-751c-4556-b10d-e1a2cd51dac8.jpg,Fresenius Kabi,8699630998607,Beyaz Reçete,"Vitamin C - 15 mg/100 ml
Kafein - 0,5 g/100 ml","34,90 TL",Ödenmez,-,"44,68 TL"
Hcu Gel Saşe 24 gr 30x24 gr Saşe - 81 kcal/1 Saşe,,Nestle,8690632760766,Beyaz Reçete,,"6071,99 TL",Ödenmez,-,"6937,05 TL"
Oniyonix İV/İA/İT Enjeksiyon İçin Çözelti İçeren Flakon 300 mgI/ml 1x50 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/37820bc2-d343-4d49-b872-0e82c30abdaf.jpg,Monemfarma,8681793774013,Beyaz Reçete,İyoheksol - 300 mgI/ml,"419,64 TL","523,23 TL",-,"726,71 TL"
Resource Junior Fibre Özel Tıbbi Amaçlı Diyet Gıda Muz Aromalı 200 ml Şişe - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/10706849-a0a6-4448-9e1f-b8f4fcdbdb73.jpg,Nestle,8690632991627,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"45,01 TL","57,62 TL",-,"64,74 TL"
Resource Junior Fibre Özel Tıbbi Amaçlı Diyet Gıda Çikolata Aromalı 200 ml Şişe - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/10706849-a0a6-4448-9e1f-b8f4fcdbdb73.jpg,Nestle,8690632991573,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"45,49 TL","58,23 TL",-,"65,43 TL"
Resource Junior Fibre Özel Tıbbi Amaçlı Diyet Gıda Vanilya Aromalı 200 ml Şişe - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/10706849-a0a6-4448-9e1f-b8f4fcdbdb73.jpg,Nestle,8690632991559,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"45,49 TL","58,23 TL",-,"65,43 TL"
Omnipol İV/İA Enjeksiyon İçin Çözelti İçeren Flakon 350 mgI/ml 1x200 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/1fc0cc54-9c37-46f4-bdf3-e9e06d32408b.jpg,Polifarma,8699606775591,Beyaz Reçete,İyoheksol - 350 mgI/ml,"1589,62 TL","1852,16 TL",-,"2572,44 TL"
Calcium Folinate - Koçak İM/İV Enjeksiyonluk Çözelti 200 mg/20 ml 1x20 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/b623ff31-af0f-4543-8b50-321c07c2411a.jpg,Koçak Farma,8699828770305,Beyaz Reçete,Kalsiyum folinat - 200 mg/20 ml,"192,10 TL","245,89 TL",-,"341,52 TL"
Resource Junior Fibre Özel Tıbbi Amaçlı Diyet Gıda Çilek Aromalı 200 ml Şişe - 150 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/bee6084e-804e-413c-a708-4c7975b8e66f.jpg,Nestle,8690632991566,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"45,01 TL","57,62 TL",-,"64,74 TL"
Calcium Folinate - Koçak İM/İV Enjeksiyonluk Çözelti 100 mg/10 ml 1x10 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/e2147cd9-2523-4f58-a3e2-af8c22896cec.jpg,Koçak Farma,8699828770299,Beyaz Reçete,Kalsiyum folinat - 100 mg/10 ml,"120,00 TL","153,60 TL",-,"170,67 TL"
Calcium Folinate - Koçak İM/İV Enjeksiyonluk Çözelti 300 mg/30 ml 1x30 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/9d4dc0ea-f08e-4d62-9a5c-598e6f3e088b.jpg,Koçak Farma,8699828770312,Beyaz Reçete,Kalsiyum folinat - 300 mg/30 ml,"288,21 TL","184,33 TL","183,81 TL","511,31 TL"
Fluxate İV Enjeksiyon İçin Çözelti İçeren Ampul 1 mg/10 ml 5x10 ml Ampul,https://cdn.farmazonrx.com.tr/Products/Images/e78a299d-7549-4475-80c2-0ea7d9905674.jpg,Pharmada,8681697750182,Beyaz Reçete,Flumazenil - 1 mg/10 ml,"921,29 TL",Ödenmez,-,"1115,97 TL"
Koçak Calcium Folinate İM/İV Enjeksiyonluk Çözelti 50 mg/5 ml 1x5 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/37a48f5f-6745-4baf-a104-26a5c98b205c.jpg,Koçak Farma,8699828770329,Beyaz Reçete,Kalsiyum folinat - 50 mg/5 ml,"88,76 TL","80,74 TL","32,88 TL","113,62 TL"
Survimed OPD Özel Tıbbi Amaçlı Diyet Gıda 500 ml Torba - 100 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/18a27efd-aba5-4abe-87d4-5c22c0925631.jpg,Fresenius Kabi,8699630998096,Beyaz Reçete,,"115,80 TL",Ödenmez,-,"148,23 TL"
Resource Thicken Up Clear Özel Tıbbi Amaçlı Diyet Gıda 125 gr Kutu - 306 kcal/100 g,https://cdn.farmazonrx.com.tr/Products/Images/0a1cab00-7886-4c60-a1cb-6d695530bc3f.jpg,Nestle,8690632990996,Beyaz Reçete,"Karbonhidratlar - 62 g/100 g
Lif - 27 g/100 g
Sodyum - 1060 mg/100 g","84,40 TL","108,03 TL",-,"183,11 TL"
Fresubin Hepa Özel Tıbbi Amaçlı Diyet Gıda 500 ml Torba - 130 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/cf9203af-01d4-4107-9776-3bed3245b224.jpg,Fresenius Kabi,8699630998119,Beyaz Reçete,"Vitamin C - 6,67 mg/100 ml","112,77 TL",Ödenmez,-,"144,35 TL"
Allergovit B - IDAME Flakon 1x3 ml Flakon,https://cdn.farmazonrx.com.tr/Products/Images/d5b98788-3596-4882-b4c8-0ee1f0d72cc5.jpg,Allergo,8697791968880,Beyaz Reçete,,"5408,69 TL",Ödenmez,-,"6157,12 TL"
Fortimel Compact Protein Yüksek Proteinli Beslenme Ürünü Kahve Aromalı 4x125 ml Şişe - 240 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/fa6a4f3e-add2-400a-a850-a37582159299.jpg,Numil,8699745010928,Beyaz Reçete,Vitamin C - 30 mg/100 ml,"148,07 TL",Ödenmez,-,"189,54 TL"
Fortimel Compact Protein Yüksek Proteinli Beslenme Ürünü Çilek Aromalı 4x125 ml Şişe - 240 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/5a28db2c-8808-46aa-a958-0e2e7eff2f17.jpg,Numil,8699745010911,Beyaz Reçete,Vitamin C - 30 mg/100 ml,"148,07 TL",Ödenmez,-,"189,54 TL"
Fortimel Compact Protein Yüksek Proteinli Beslenme Ürünü Muz Aromalı 4x125 ml Şişe - 240 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/a4a3c16f-391d-45b5-9ae5-83be5efb46a1.jpg,Numil,8699745010935,Beyaz Reçete,Vitamin C - 30 mg/100 ml,"148,07 TL",Ödenmez,-,"189,54 TL"
Similac Alımentum Tıbbi Amaçlı Diyet Gıda 400 gr Kutu - 67.6 kcal/100 ml,https://cdn.farmazonrx.com.tr/Products/Images/d5340891-3eb5-425a-910e-5ade8c35c578.jpg,Abbott,8699548994654,Beyaz Reçete,"Vitamin C - 8,5 mg/100 ml","516,08 TL",Ödenmez,-,"647,01 TL"
Velarix Film Kaplı Tablet 800 mg 180 Tablet,https://cdn.farmazonrx.com.tr/Products/Images/70233248-e87e-4de6-98b5-7ddc4714d28c.jpg,Abdi İbrahim,8699514093305,Beyaz Reçete,Sevelamer - 800 mg,"2096,23 TL","1937,38 TL","487,25 TL","3367,54 TL"
Grazax Oral Liyofilizat 75 SQ-T 30 Tablet,,Alk,8681078093013,Beyaz Reçete,,"1035,09 TL",Ödenmez,-,"1214,95 TL"
Grazax Oral Liyofilizat 75 SQ-T 100 Tablet,,Alk,8681078093020,Beyaz Reçete,,"3431,30 TL",Ödenmez,-,"3922,67 TL"
